annotation_order,predicted_dream_s,apparent_time_s,protocol,evaluation_protocol,dream_report_id,record_uid,subject_id,split,manual_final_stage,consensus_mean_s,consensus_sigma_population_s,dream_time_definition,stage_weights_json,stage_color_definition
6,146.34058415510384,483.0467959223858,"conditional nested participant-grouped OOF for g only; g selection and fit exclude this subject, while frozen upstream physical-f and GSSC stage predictions are not re-cross-fitted here",conditional nested participant-grouped OOF for g given frozen upstream f/stage; upstream GSSC stage model not cross-fit,KUMRAL_DREAM_006,Kumral:Sub-001_task_sleep-awak003.edf,Sub-001,train,N3,270.0,45.8257569495584,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
7,511.4766636671628,840.2105013290407,"conditional nested participant-grouped OOF for g only; g selection and fit exclude this subject, while frozen upstream physical-f and GSSC stage predictions are not re-cross-fitted here",conditional nested participant-grouped OOF for g given frozen upstream f/stage; upstream GSSC stage model not cross-fit,KUMRAL_DREAM_007,Kumral:Sub-003_task_sleep-awak003.edf,Sub-003,train,N2,310.0,53.85164807134504,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
8,173.64829561155148,372.1568660915839,"conditional nested participant-grouped OOF for g only; g selection and fit exclude this subject, while frozen upstream physical-f and GSSC stage predictions are not re-cross-fitted here",conditional nested participant-grouped OOF for g given frozen upstream f/stage; upstream GSSC stage model not cross-fit,KUMRAL_DREAM_008,Kumral:Sub-009_task_sleep-awak003.edf,Sub-009,train,N3,45.0,15.0,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
9,1860.5943156262729,2772.2723765086894,"conditional nested participant-grouped OOF for g only; g selection and fit exclude this subject, while frozen upstream physical-f and GSSC stage predictions are not re-cross-fitted here",conditional nested participant-grouped OOF for g given frozen upstream f/stage; upstream GSSC stage model not cross-fit,KUMRAL_DREAM_009,Kumral:Sub-009_task_sleep-awak004.edf,Sub-009,train,REM,470.0,64.03124237432849,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
11,1357.0331074061428,2043.5040195300712,"conditional nested participant-grouped OOF for g only; g selection and fit exclude this subject, while frozen upstream physical-f and GSSC stage predictions are not re-cross-fitted here",conditional nested participant-grouped OOF for g given frozen upstream f/stage; upstream GSSC stage model not cross-fit,KUMRAL_DREAM_011,Kumral:Sub-012_task_sleep-awak003.edf,Sub-012,train,N1,490.0,64.03124237432849,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
12,349.0268150517852,778.1682063127455,"conditional nested participant-grouped OOF for g only; g selection and fit exclude this subject, while frozen upstream physical-f and GSSC stage predictions are not re-cross-fitted here",conditional nested participant-grouped OOF for g given frozen upstream f/stage; upstream GSSC stage model not cross-fit,KUMRAL_DREAM_012,Kumral:Sub-013_task_sleep-awak002.edf,Sub-013,train,N2,140.0,28.284271247461906,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
13,496.977242970691,1666.1149821257131,"conditional nested participant-grouped OOF for g only; g selection and fit exclude this subject, while frozen upstream physical-f and GSSC stage predictions are not re-cross-fitted here",conditional nested participant-grouped OOF for g given frozen upstream f/stage; upstream GSSC stage model not cross-fit,KUMRAL_DREAM_013,Kumral:Sub-013_task_sleep-awak004.edf,Sub-013,train,N1,460.0,89.44271909999159,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
14,309.0659251341712,596.3805168716866,"conditional nested participant-grouped OOF for g only; g selection and fit exclude this subject, while frozen upstream physical-f and GSSC stage predictions are not re-cross-fitted here",conditional nested participant-grouped OOF for g given frozen upstream f/stage; upstream GSSC stage model not cross-fit,KUMRAL_DREAM_014,Kumral:Sub-014_task_sleep-awak003.edf,Sub-014,train,N2,70.0,33.166247903554,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
15,838.0025528055469,1245.5530706556438,"conditional nested participant-grouped OOF for g only; g selection and fit exclude this subject, while frozen upstream physical-f and GSSC stage predictions are not re-cross-fitted here",conditional nested participant-grouped OOF for g given frozen upstream f/stage; upstream GSSC stage model not cross-fit,KUMRAL_DREAM_015,Kumral:Sub-014_task_sleep-awak004.edf,Sub-014,train,N3,135.0,22.9128784747792,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
16,602.3734422093163,1092.612184641744,"conditional nested participant-grouped OOF for g only; g selection and fit exclude this subject, while frozen upstream physical-f and GSSC stage predictions are not re-cross-fitted here",conditional nested participant-grouped OOF for g given frozen upstream f/stage; upstream GSSC stage model not cross-fit,KUMRAL_DREAM_016,Kumral:Sub-015_task_sleep-awak001.edf,Sub-015,train,N2,45.0,15.0,sum p(predicted_stage) * bar_f_lambda * duration_s,"{""N1"": 0.849, ""N2"": 0.532, ""N3"": 0.508, ""REM"": 0.834, ""W"": 0.0}",manual awakening-endpoint stage
